 n,time,method_enum,problem_enum,api_enum,compiler_enum
      64,             0.000003,  0,  0,  0, 0
     128,             0.000019,  0,  0,  0, 0
     256,             0.000059,  0,  0,  0, 0
     512,             0.000248,  0,  0,  0, 0
    1024,             0.001343,  0,  0,  0, 0
    2048,             0.008636,  0,  0,  0, 0
    4096,             0.038802,  0,  0,  0, 0
    8192,             0.132422,  0,  0,  0, 0
   16384,             0.540683,  0,  0,  0, 0
      64,             0.000003,  0,  0,  0, 0
     128,             0.000014,  0,  0,  0, 0
     256,             0.000069,  0,  0,  0, 0
     512,             0.000232,  0,  0,  0, 0
    1024,             0.001330,  0,  0,  0, 0
    2048,             0.009136,  0,  0,  0, 0
    4096,             0.039130,  0,  0,  0, 0
    8192,             0.129531,  0,  0,  0, 0
   16384,             0.551350,  0,  0,  0, 0
      64,             0.000003,  0,  0,  0, 0
     128,             0.000014,  0,  0,  0, 0
     256,             0.000059,  0,  0,  0, 0
     512,             0.000248,  0,  0,  0, 0
    1024,             0.001369,  0,  0,  0, 0
    2048,             0.008650,  0,  0,  0, 0
    4096,             0.037554,  0,  0,  0, 0
    8192,             0.137088,  0,  0,  0, 0
   16384,             0.527702,  0,  0,  0, 0
      64,             0.000003,  0,  0,  0, 0
     128,             0.000014,  0,  0,  0, 0
     256,             0.000060,  0,  0,  0, 0
     512,             0.000254,  0,  0,  0, 0
    1024,             0.001364,  0,  0,  0, 0
    2048,             0.009034,  0,  0,  0, 0
    4096,             0.039708,  0,  0,  0, 0
    8192,             0.139127,  0,  0,  0, 0
   16384,             0.536224,  0,  0,  0, 0
      64,             0.000003,  0,  0,  0, 0
     128,             0.000014,  0,  0,  0, 0
     256,             0.000059,  0,  0,  0, 0
     512,             0.000248,  0,  0,  0, 0
    1024,             0.001355,  0,  0,  0, 0
    2048,             0.008774,  0,  0,  0, 0
    4096,             0.036913,  0,  0,  0, 0
    8192,             0.139326,  0,  0,  0, 0
   16384,             0.523065,  0,  0,  0, 0
      64,             0.000003,  0,  0,  0, 0
     128,             0.000013,  0,  0,  0, 0
     256,             0.000058,  0,  0,  0, 0
     512,             0.000232,  0,  0,  0, 0
    1024,             0.001331,  0,  0,  0, 0
    2048,             0.008625,  0,  0,  0, 0
    4096,             0.038273,  0,  0,  0, 0
    8192,             0.137611,  0,  0,  0, 0
   16384,             0.528103,  0,  0,  0, 0
      64,             0.000003,  0,  0,  0, 0
     128,             0.000014,  0,  0,  0, 0
     256,             0.000070,  0,  0,  0, 0
