 n,    time,     method
      64,             0.000003, do
     128,             0.000014, do
     256,             0.000061, do
     512,             0.000247, do
    1024,             0.000960, do
    2048,             0.008950, do
    4096,             0.042544, do
    8192,             0.138417, do
   16384,             0.544609, do
      64,             0.000003, doConcurrent1
     128,             0.000014, doConcurrent1
     256,             0.000060, doConcurrent1
     512,             0.000248, doConcurrent1
    1024,             0.000965, doConcurrent1
    2048,             0.008967, doConcurrent1
    4096,             0.042697, doConcurrent1
    8192,             0.139608, doConcurrent1
   16384,             0.550030, doConcurrent1
      64,             0.000005, doConcurrent2
     128,             0.000014, doConcurrent2
     256,             0.000084, doConcurrent2
     512,             0.000249, doConcurrent2
    1024,             0.000962, doConcurrent2
    2048,             0.009171, doConcurrent2
    4096,             0.042711, doConcurrent2
    8192,             0.132601, doConcurrent2
   16384,             0.529530, doConcurrent2
      64,             0.002093, ompParallelDo
     128,             0.000011, ompParallelDo
     256,             0.000034, ompParallelDo
     512,             0.000146, ompParallelDo
    1024,             0.000533, ompParallelDo
    2048,             0.002369, ompParallelDo
    4096,             0.009128, ompParallelDo
    8192,             0.033012, ompParallelDo
   16384,             0.142040, ompParallelDo
      64,             0.139328, ompTarget
     128,             0.000140, ompTarget
     256,             0.000403, ompTarget
     512,             0.001278, ompTarget
    1024,             0.003721, ompTarget
    2048,             0.014619, ompTarget
    4096,             0.060747, ompTarget
    8192,             0.230101, ompTarget
   16384,             0.852647, ompTarget
      64,             0.000155, ompTargetDataless
     128,             0.000085, ompTargetDataless
     256,             0.000251, ompTargetDataless
     512,             0.000746, ompTargetDataless
    1024,             0.002092, ompTargetDataless
    2048,             0.007562, ompTargetDataless
    4096,             0.029384, ompTargetDataless
    8192,             0.104141, ompTargetDataless
   16384,             0.401415, ompTargetDataless
