 n,    time,     method
      64,             0.000003, doloop
     128,             0.000012, doloop
     256,             0.000055, doloop
     512,             0.000253, doloop
    1024,             0.000893, doloop
    2048,             0.009032, doloop
    4096,             0.035287, doloop
    8192,             0.132158, doloop
   16384,             0.532334, doloop
      64,             0.000003, doconcurrent1
     128,             0.000014, doconcurrent1
     256,             0.000061, doconcurrent1
     512,             0.000250, doconcurrent1
    1024,             0.000973, doconcurrent1
    2048,             0.009229, doconcurrent1
    4096,             0.041760, doconcurrent1
    8192,             0.133962, doconcurrent1
   16384,             0.522807, doconcurrent1
      64,             0.000005, doconcurrent2
     128,             0.000014, doconcurrent2
     256,             0.000062, doconcurrent2
     512,             0.000248, doconcurrent2
    1024,             0.000975, doconcurrent2
    2048,             0.009381, doconcurrent2
    4096,             0.037879, doconcurrent2
    8192,             0.143397, doconcurrent2
   16384,             0.528018, doconcurrent2
      64,             0.001593, ompparalleldo
     128,             0.000014, ompparalleldo
     256,             0.000058, ompparalleldo
     512,             0.000229, ompparalleldo
    1024,             0.000912, ompparalleldo
    2048,             0.008808, ompparalleldo
    4096,             0.037523, ompparalleldo
    8192,             0.141162, ompparalleldo
   16384,             0.546563, ompparalleldo
      64,             0.141765, omptarget
     128,             0.000152, omptarget
     256,             0.000414, omptarget
     512,             0.001359, omptarget
    1024,             0.003878, omptarget
    2048,             0.015155, omptarget
    4096,             0.060986, omptarget
    8192,             0.220780, omptarget
   16384,             0.855152, omptarget
      64,             0.000149, omptargetdataless
     128,             0.000083, omptargetdataless
     256,             0.000251, omptargetdataless
     512,             0.000753, omptargetdataless
    1024,             0.002115, omptargetdataless
    2048,             0.007557, omptargetdataless
    4096,             0.028794, omptargetdataless
    8192,             0.104051, omptargetdataless
   16384,             0.410530, omptargetdataless
      64,             0.000003, do
     128,             0.000014, do
     256,             0.000060, do
     512,             0.000250, do
    1024,             0.000974, do
    2048,             0.008791, do
    4096,             0.042080, do
    8192,             0.138989, do
   16384,             0.537684, do
      64,             0.000003, doConcurrent1
     128,             0.000014, doConcurrent1
     256,             0.000060, doConcurrent1
     512,             0.000232, doConcurrent1
    1024,             0.000909, doConcurrent1
    2048,             0.008588, doConcurrent1
    4096,             0.039060, doConcurrent1
    8192,             0.137125, doConcurrent1
   16384,             0.538267, doConcurrent1
      64,             0.000005, doConcurrent2
     128,             0.000014, doConcurrent2
     256,             0.000062, doConcurrent2
     512,             0.000227, doConcurrent2
    1024,             0.000918, doConcurrent2
    2048,             0.008921, doConcurrent2
    4096,             0.040213, doConcurrent2
    8192,             0.139977, doConcurrent2
   16384,             0.529801, doConcurrent2
      64,             0.002039, ompParallelDo
     128,             0.000011, ompParallelDo
     256,             0.000034, ompParallelDo
     512,             0.000144, ompParallelDo
    1024,             0.000539, ompParallelDo
    2048,             0.002378, ompParallelDo
    4096,             0.008879, ompParallelDo
    8192,             0.033421, ompParallelDo
   16384,             0.147156, ompParallelDo
      64,             0.141214, ompTarget
     128,             0.000139, ompTarget
     256,             0.000387, ompTarget
     512,             0.001282, ompTarget
    1024,             0.003731, ompTarget
    2048,             0.014540, ompTarget
    4096,             0.059630, ompTarget
    8192,             0.229716, ompTarget
   16384,             0.857936, ompTarget
      64,             0.000153, ompTargetDataless
     128,             0.000085, ompTargetDataless
     256,             0.000252, ompTargetDataless
     512,             0.000748, ompTargetDataless
    1024,             0.002132, ompTargetDataless
    2048,             0.007604, ompTargetDataless
    4096,             0.029496, ompTargetDataless
    8192,             0.106670, ompTargetDataless
   16384,             0.408018, ompTargetDataless
